,Age,Annual_Income,Monthly_Inhand_Salary,Num_Bank_Accounts,Num_Credit_Card,Num_of_Loan,Num_of_Delayed_Payment,Changed_Credit_Limit,Num_Credit_Inquiries,Outstanding_Debt,Credit_Utilization_Ratio,Total_EMI_per_month,Amount_invested_monthly,Monthly_Balance,Credit_Rating,Credit_Mix_Bad,Credit_Mix_Good,Credit_Mix_Standard,Payment_of_Min_Amount_No,Payment_of_Min_Amount_Yes
251,43,18627.64,1387.303333333333,7,7,6.0,22.0,5.07,7.0,1793.54,35.91940492740646,65.13948777561222,75.79139,277.79947,639.4223036905526,1,0,0,0,1
281,36,71681.4,5799.45,3,6,1.0,6.0,10.44,0.0,1293.02,29.682953869716,53.92351397165268,137.33115,638.69037,602.3933237246878,0,0,1,0,1
282,36,71681.4,5799.45,3,6,1.0,10.0,10.44,0.0,1293.02,29.371396475591716,53.92351397165268,253.31972,562.7018,582.6854571207574,0,0,1,0,1
283,36,71681.4,5799.45,3,6,1.0,8.0,10.44,0.0,1293.02,33.041498963387184,53.92351397165268,120.890144,645.13135,692.2755361154271,0,0,1,0,1
285,36,71681.4,5799.45,3,6,1.0,6.0,10.44,0.0,1293.02,34.983562067394985,53.92351397165268,414.89655,391.12494,681.5066207820141,0,0,1,0,1
309,37,15566.02,1423.168333333333,8,5,4.0,23.0,9.24,9.0,1693.95,31.33422002336577,43.07051960231588,131.61252,257.6338,420.3855844268279,0,0,1,0,1
352,19,85554.03,7185.5025,4,2,0.0,7.0,6.43,3.0,1095.73,33.434371517540995,0.0,162.99559,795.5547,714.2140711143496,0,1,0,1,0
434,37,17251.38,1654.615,6,3,7.0,12.0,15.06,6.0,2431.64,27.59559906416533,57.35116518894053,132.4439,245.66643,637.68517702638,0,0,1,0,1
435,37,17251.38,1654.615,6,3,7.0,15.0,15.06,6.0,2431.64,28.12269301564605,57.35116518894053,169.30266,228.80768,622.8862806052898,0,0,1,0,1
436,37,17251.38,1654.615,6,3,7.0,15.0,15.06,10.0,2431.64,33.914865389507106,57.35116518894053,71.910515,296.19983,598.6596740631313,0,0,1,0,1
437,37,17251.38,1654.615,6,3,7.0,15.0,15.06,10.0,2431.64,32.70581750680671,57.35116518894053,54.076683,334.03366,666.880765569669,0,0,1,0,1
455,25,80108.31,6866.6925,5,3,0.0,19.0,14.22,4.0,997.28,28.12327833446457,0.0,127.88629,808.78296,604.7263349750273,0,0,1,0,1
465,16,78988.48,6449.373333333332,9,5,7.0,17.0,15.27,9.0,1746.9,35.15493570343151,291.78276034215287,419.5757,193.57886,457.2518249350667,1,0,0,0,1
473,45,41746.76,3651.896666666667,8,5,3.0,22.0,9.81,8.0,1936.79,30.089952399503996,102.28339754384292,31.560009,471.34625,633.3728544783592,1,0,0,0,1
476,45,41746.76,3651.896666666667,8,5,3.0,18.0,9.81,11.0,1936.79,30.25268541678166,102.28339754384292,42.79187,460.1144,630.689226167448,1,0,0,0,1
479,46,41746.76,3651.896666666667,8,5,3.0,21.0,9.81,11.0,1936.79,32.94553478945882,102.28339754384292,85.99687,416.9094,365.7354900591003,1,0,0,0,1
489,19,73737.36,5936.78,7,3,4.0,20.0,14.92,2.0,1219.39,35.7261306876056,214.8134632011097,113.16241,515.70215,640.8766337938952,0,0,1,0,1
491,19,73737.36,5936.78,7,3,4.0,17.0,13.92,2.0,1219.39,34.81301083926292,214.8134632011097,153.87447,474.99008,587.1118735518218,0,0,1,0,1
492,19,73737.36,5936.78,7,3,4.0,20.0,13.92,2.0,1219.39,33.015928099564874,214.8134632011097,424.0584,244.80612,616.3944436023434,0,0,1,0,1
497,33,88362.46,7255.538333333334,5,2,3.0,10.0,9.01,4.0,325.93,36.59051320109678,211.1843903373817,472.77542,321.59402,686.6690521166635,0,1,0,1,0
499,34,88362.46,7255.538333333334,5,2,3.0,8.0,11.01,4.0,325.93,31.528676901527923,211.1843903373817,283.38123,480.98822,686.265845664878,0,1,0,1,0
512,26,60162.1,5197.508333333333,5,7,7.0,10.0,14.79,7.0,1037.45,36.35924551524061,220.2137267039484,80.01265,469.52448,641.2058306695056,0,0,1,0,1
513,26,60162.1,5197.508333333333,5,7,7.0,10.0,14.79,7.0,1037.45,33.183942270673484,220.2137267039484,153.44754,396.08957,599.2075600018212,0,0,1,0,1
517,26,60162.1,5197.508333333333,5,7,7.0,11.0,14.79,9.0,1037.45,28.73291734995421,220.2137267039484,450.56018,118.97693,626.7668780915739,0,0,1,0,1
547,30,30390.44,2721.5366666666664,5,6,4.0,17.0,8.36,4.0,580.31,34.533573446234776,64.84803820501804,60.914597,396.39102,615.4021022765864,0,0,1,1,0
549,30,30390.44,2721.5366666666664,5,6,4.0,20.0,8.36,4.0,580.31,31.075040710491734,64.84803820501804,225.91978,271.38583,661.7835322852384,0,0,1,1,0
576,46,18681.465,1584.78875,2,3,2.0,8.0,3.9,1.0,327.88,27.531342922886093,24.8214249786604,52.09642,351.56104,594.3491550540779,0,1,0,1,0
581,47,18681.465,1584.78875,2,3,2.0,8.0,3.9,3.0,327.88,30.1279341810923,24.8214249786604,131.10744,272.55002,699.9114307646694,0,1,0,1,0
593,35,72330.98,6300.581666666666,0,3,1.0,6.0,4.62,1.0,596.78,32.36779297247521,31.37979415843871,171.74353,676.9348,675.164129798371,0,1,0,1,0
595,35,72330.98,6300.581666666666,0,3,1.0,6.0,4.62,1.0,596.78,30.15846394132902,31.37979415843871,701.66,187.01842,672.8968175976652,0,1,0,1,0
606,16,43241.49,3282.269196467356,10,7,6.0,14.0,8.47,10.0,2174.16,27.934844785050963,460.4272666027642,50.831627,394.97516,600.7174010976127,1,0,0,0,1
607,16,43241.49,3282.269196467356,10,7,6.0,17.0,8.47,10.0,2174.16,30.59762389415997,460.4272666027642,94.600395,351.2064,667.4237791220654,1,0,0,0,1
624,34,17001.34,1214.7783333333334,6,5,1.0,20.0,5.62,0.0,1093.87,31.555540389733345,10.535555607461252,97.55551,293.38675,601.6188690295119,0,0,1,1,0
631,34,17001.34,1214.7783333333334,6,5,1.0,20.0,5.62,2.0,1093.87,35.03187221946185,10.535555607461252,99.29446,301.64783,590.490714354596,0,0,1,1,0
641,47,17787.34,1242.2783333333334,8,4,2.0,15.0,5.65,0.0,730.9,36.33219149480257,20.06363388435491,54.894073,329.2701,662.3919894909202,0,0,1,1,0
644,47,17787.34,1242.2783333333334,8,4,2.0,16.0,5.65,0.0,730.9,32.535127683468765,20.06363388435491,157.55247,236.61172,602.76995925889,0,0,1,1,0
645,47,17787.34,1242.2783333333334,8,4,2.0,16.0,5.65,0.0,730.9,33.68265491389942,20.06363388435491,119.148384,265.0158,627.0802115787466,0,0,1,1,0
658,38,31021.24,2756.103333333333,7,7,4.0,20.0,11.21,7.0,852.81,32.866581629755615,90.7591784649516,136.99066,317.86047,632.654557223208,0,0,1,1,0
661,38,31021.24,2756.103333333333,7,7,4.0,20.0,11.21,7.0,852.81,37.1715264449191,90.7591784649516,56.977573,367.8736,592.8184077263778,0,0,1,1,0
679,28,39800.12,3047.6766666666667,7,5,3.0,20.0,11.53,4.0,660.69,28.62288043181345,58.48765733950958,274.45624,251.82376,636.4093258523089,0,0,1,0,1
703,28,15398.95,1548.2458333333334,1,7,4.0,1.0,8.41,8.0,343.84,28.13568775694777,34.81396985624466,95.38656,294.62405,617.691266229194,0,1,0,1,0
704,18,27070.07,2518.839166666666,7,3,4.0,15.0,5.68,1.0,919.76,28.555850410033027,73.23331847935155,76.31459,362.336,593.5263451166498,0,0,1,1,0
710,18,27070.07,2518.839166666666,7,3,4.0,13.0,5.68,6.0,919.76,37.395217944954375,73.23331847935155,190.27737,268.37323,581.0184024740562,0,0,1,1,0
733,22,18305.25,1557.4375,2,1,0.0,10.0,6.27,3.0,363.51,30.19674703989039,0.0,179.31123,266.43253,687.2304884058227,0,1,0,1,0
735,22,18305.25,1557.4375,2,1,0.0,11.0,5.27,3.0,363.51,35.591860512627065,0.0,187.33476,258.409,702.5855778846625,0,1,0,1,0
768,25,43758.34,3454.528333333333,5,6,2.0,2.0,4.18,1.0,1194.28,29.317896659805555,56.31142051341512,229.25906,319.88235,718.1527916339566,0,1,0,1,0
769,25,43758.34,3454.528333333333,5,6,2.0,2.0,4.18,1.0,1194.28,27.69852435274219,56.31142051341512,417.53052,161.61089,707.8124832263338,0,1,0,1,0
773,25,43758.34,3454.528333333333,5,6,2.0,5.0,4.18,2.0,1194.28,27.26513494800327,56.31142051341512,147.57321,401.5682,715.2928439259229,0,1,0,1,0
775,25,43758.34,3454.528333333333,5,6,2.0,2.0,4.18,2.0,1194.28,35.74253976687775,56.31142051341512,364.238,214.90343,695.3920512242313,0,1,0,1,0
801,37,85328.73,6858.7275,3,4,1.0,18.0,6.83,2.0,585.05,28.27046487621821,68.4589661120162,106.58774,750.82605,703.6282493941789,0,1,0,1,0
824,19,28665.76,2582.813333333333,7,3,1.0,10.0,11.32,0.0,1237.46,36.639699298304585,22.68817757992469,340.99084,184.60233,664.9187565769374,0,0,1,1,0
850,21,66528.24,5733.02,5,5,0.0,9.0,13.65,2.0,1460.8,32.533873091785175,0.0,98.82755,724.4744,645.9234318367869,0,0,1,0,1
851,21,66528.24,5733.02,5,5,0.0,11.0,13.65,2.0,1460.8,36.6333635229857,0.0,215.61864,607.68335,669.7645976096867,0,0,1,0,1
853,21,66528.24,5733.02,5,5,0.0,9.0,13.65,2.0,1460.8,27.502572021101862,0.0,97.041794,716.2602,617.1559225730646,0,0,1,0,1
857,55,19403.404,1904.9504166666663,1,7,3.0,11.0,3.9,2.0,339.11,36.50783060050297,39.2149144347618,125.94837,315.33176,587.2099760073032,0,1,0,1,0
858,55,19403.404,1904.9504166666663,1,7,3.0,9.0,3.9,2.0,339.11,33.68727672586754,39.2149144347618,192.71875,248.56137,608.0501315980262,0,1,0,1,0
864,19,31122.79,2761.5658333333336,7,5,0.0,20.0,9.75,2.0,358.6,30.79484744739084,0.0,220.51306,325.64352,616.9116886322547,0,0,1,1,0
865,19,31122.79,2761.5658333333336,7,5,0.0,20.0,9.75,2.0,358.6,31.60070425136859,0.0,249.69688,306.45972,628.8479467894208,0,0,1,1,0
866,19,31122.79,2761.5658333333336,7,5,0.0,20.0,9.75,2.0,358.6,32.519561590235604,0.0,57.240723,458.91586,607.9903823688177,0,0,1,1,0
870,19,31122.79,2761.5658333333336,7,5,0.0,19.0,9.75,4.0,358.6,37.36020300529866,0.0,372.67844,193.47816,658.7226874478375,0,0,1,1,0
900,54,41345.58,3260.465,0,5,0.0,0.0,6.42,7.0,646.47,32.69081341196726,0.0,36.947205,539.0993,433.057432743465,0,1,0,1,0
902,54,41345.58,3260.465,0,5,0.0,0.0,6.42,7.0,646.47,28.45811668287479,0.0,286.38306,319.66345,459.7940617130067,0,1,0,1,0
910,32,55151.04,4704.92,10,6,6.0,19.0,10.64,9.0,1743.83,37.18200362927913,171.82306738090188,112.549614,436.11932,406.60341106952734,1,0,0,0,1
912,39,30536.62,2430.718333333333,6,6,2.0,7.0,9.33,4.0,687.87,31.022658667241192,42.97244101951375,96.729,353.3704,606.3175345612182,0,0,1,0,1
952,54,80396.86,6623.738333333334,5,7,0.0,11.0,10.47,0.0,1357.54,34.92686537493276,0.0,266.01303,646.3608,721.5571551970035,0,1,0,1,0
955,54,80396.86,6623.738333333334,5,7,0.0,10.0,10.47,0.0,1357.54,31.31834535848105,0.0,305.424,646.9498,601.0468941781639,0,1,0,1,0
958,54,80396.86,6623.738333333334,5,7,0.0,11.0,10.47,0.0,1357.54,32.267515261200145,0.0,230.97643,691.3974,610.206963620844,0,1,0,1,0
968,36,18717.02,1294.7516666666668,8,5,5.0,20.0,10.3,7.0,2103.99,32.72190460900136,60.64699329311761,172.28317,186.54501,526.8834120448804,0,0,1,0,1
974,37,18717.02,1294.7516666666668,8,5,5.0,18.0,10.3,10.0,2103.99,33.81312964896544,60.64699329311761,82.393715,276.43445,397.35545042981,0,0,1,0,1
977,17,19163.22,1346.9350000000004,3,7,2.0,19.0,8.76,5.0,2226.37,35.6805737407476,24.17564764974174,165.73488,234.78297,638.6588729959924,0,0,1,0,1
978,17,19163.22,1346.9350000000004,3,7,2.0,18.0,5.76,5.0,2226.37,31.191257713153945,24.17564764974174,167.87811,232.63974,649.8200246843857,0,0,1,0,1
981,17,19163.22,1346.9350000000004,3,7,2.0,18.0,8.76,5.0,2226.37,36.349179393688,24.17564764974174,81.7263,288.79156,685.5892203794093,0,0,1,0,1
1014,15,27796.42,2300.3683333333333,6,5,2.0,15.0,11.85,10.0,1073.94,27.45233024468932,36.06763128414976,34.56742,399.4018,641.6645575149375,0,0,1,0,1
1037,48,37071.2,3006.2666666666664,1,6,4.0,5.0,11.56,3.0,869.99,32.250820819883664,74.69027138495908,68.03216,397.90424,720.2790424625932,0,1,0,1,0
1039,48,37071.2,3006.2666666666664,1,6,4.0,8.0,11.56,3.0,869.99,30.49430852608319,74.69027138495908,53.602383,432.334,651.4754934316558,0,1,0,1,0
1040,20,41735.55,3357.9625,0,3,4.0,6.0,11.25,2.0,1480.92,32.503284267529445,109.61414671334232,98.89487,387.28723,656.498672686248,0,1,0,1,0
1043,20,41735.55,3357.9625,0,3,4.0,5.0,11.25,3.0,1480.92,34.23860844553955,109.61414671334232,387.46655,128.71556,655.5250370542525,0,1,0,1,0
1046,20,41735.55,3357.9625,0,3,4.0,6.0,14.25,3.0,1480.92,28.67935496798823,109.61414671334232,164.27702,321.9051,628.8861252414221,0,1,0,1,0
1064,40,19065.32,1497.7766666666666,3,6,5.0,14.0,7.81,4.0,2008.06,29.44953193902064,76.21247400832009,63.52148,290.0437,659.7022911025997,0,0,1,0,1
1068,-500,19065.32,1497.7766666666666,3,6,5.0,14.0,7.81,5.0,2008.06,30.09094621339511,76.21247400832009,166.24445,197.32076,594.9666566096297,0,0,1,0,1
1069,40,19065.32,1497.7766666666666,3,6,5.0,14.0,7.81,5.0,2008.06,29.54374904660727,76.21247400832009,54.205048,269.36014,666.1392244635751,0,0,1,0,1
1080,26,15013.73,1127.1441666666667,7,4,6.0,12.0,8.22,5.0,1403.17,31.796689606260543,51.547924156742056,75.20945,265.95703,600.9513398963815,0,0,1,0,1
1083,27,15013.73,1127.1441666666667,7,4,6.0,9.0,8.22,5.0,1403.17,27.426279563795205,51.547924156742056,129.52713,221.63936,583.4216749321134,0,0,1,0,1
1104,38,34212.01,2847.000833333333,6,5,3.0,9.0,8.12,1.0,512.38,29.746346625274604,66.6764133130149,270.23978,237.7839,668.6188087188144,0,0,1,1,0
1108,38,34212.01,2847.000833333333,6,5,3.0,10.0,8.12,1.0,512.38,32.64457795122378,66.6764133130149,26.270084,431.75357,660.1089110004718,0,0,1,1,0
1109,38,34212.01,2847.000833333333,6,5,3.0,9.0,8.12,1.0,512.38,28.431674292587594,66.6764133130149,236.87552,261.14816,589.9460554470994,0,0,1,1,0
1144,31,16578.115,1426.5095833333337,3,5,2.0,16.0,13.29,2.0,1054.86,34.12223746326529,21.42597208431386,25.856415,345.36856,615.0938544144233,0,0,1,0,1
1145,31,16578.115,1426.5095833333337,3,5,2.0,13.0,13.29,2.0,1054.86,35.677357846737266,21.42597208431386,58.1768,353.0482,598.9318797603341,0,0,1,0,1
1162,43,34766.06,3133.171666666666,0,1,3.0,6.0,5.71,0.0,1374.23,35.561421056674746,78.09310673608609,182.61555,342.60852,724.701653534771,0,1,0,1,0
1175,23,16852.635,1530.8003731857482,4,6,0.0,13.0,16.68,8.0,775.22,30.08041533923621,160.58587681425155,53.91582,385.2228,676.1068060454189,0,0,1,0,1
1177,20,33502.1,2890.8416666666667,7,9,6.0,20.0,7.06,9.0,2362.68,32.80233908313246,158.60792715213003,191.27711,229.19913,614.4781438349289,0,0,1,0,1
1179,20,33502.1,2890.8416666666667,7,9,6.0,20.0,7.06,9.0,2362.68,32.981167608798465,158.60792715213003,72.56921,307.90704,553.5304308313882,0,0,1,0,1
1181,20,33502.1,2890.8416666666667,7,9,6.0,22.0,7.06,12.0,2362.68,32.82688725557438,158.60792715213003,45.48514,334.9911,416.5221795993675,0,0,1,0,1
1224,51,43581.13,3566.7608333333333,4,3,3.0,2.0,8.56,2.0,900.83,37.275911605390895,103.03307766103524,120.20388,413.43912,714.1115772410494,0,1,0,1,0
1242,33,35376.32,2717.026666666666,8,3,3.0,18.0,15.14,7.0,1166.47,28.44892451215079,58.2166703210756,317.50635,185.97964,639.7454084423601,0,0,1,0,1
1244,33,35376.32,2717.026666666666,8,3,3.0,15.0,15.14,7.0,1166.47,30.240807267655438,58.2166703210756,126.15431,357.3317,601.8677896949029,0,0,1,0,1
1257,26,19853.35,1726.4458333333332,7,4,2.0,17.0,11.63,1.0,816.46,35.280216833249504,28.071965473150293,22.030264,362.54236,663.9599638419859,0,0,1,1,0
1263,26,19853.35,1613.0032412063474,7,4,2.0,17.0,11.63,2.0,816.46,29.85795807199153,141.5145576001361,68.85194,325.72067,630.2190817894317,0,0,1,1,0
1306,23,66502.76,5379.8966666666665,0,6,2.0,10.0,7.06,2.0,276.91,33.45945840470202,80.100174314101,70.98632,636.9032,401.29201542527505,0,1,0,1,0
1350,42,31807.0,2733.583333333333,8,3,2.0,8.0,14.68,1.0,611.04,32.96827475415048,35.55369086237439,202.94853,304.8561,708.9403745763057,0,0,1,0,1
1364,39,64036.88,5591.406666666668,8,4,4.0,15.0,14.7,4.0,1635.19,34.17436021991849,127.82606133041408,408.98468,302.32993,656.7549128094569,0,0,1,0,1
1367,39,64036.88,5591.406666666668,8,4,4.0,15.0,14.7,9.0,1635.19,34.810104931502764,127.82606133041408,267.16534,434.14926,666.9565238020805,0,0,1,0,1
1377,22,86522.72,7098.2266666666665,8,5,1.0,9.0,15.51,8.0,455.22,29.33748967668283,45.2646813787989,139.8368,774.7212,659.9150052249611,0,0,1,0,1
1382,22,86522.72,7098.2266666666665,8,5,1.0,13.0,15.51,8.0,455.22,28.476740116947106,45.2646813787989,472.94843,471.60956,657.7566995194727,0,0,1,0,1
1383,22,86522.72,7098.2266666666665,8,5,1.0,8.0,15.51,13.0,455.22,33.04000293842981,45.2646813787989,577.97,376.58804,612.367392490366,0,0,1,0,1
1417,19,11970.955,1169.5795833333332,8,4,2.0,8.0,11.72,1.0,889.62,33.846693698915985,14.885194696934184,109.943634,282.12912,652.1206978803627,0,0,1,1,0
1418,19,11970.955,1169.5795833333332,8,4,2.0,8.0,4.72,1.0,889.62,28.07761032091489,14.885194696934184,49.994007,332.07877,580.4556754737363,0,0,1,1,0
1421,19,11970.955,1169.5795833333332,8,4,2.0,7.0,4.72,1.0,889.62,30.592688977179165,14.885194696934184,63.834984,318.2378,624.3309284650335,0,0,1,1,0
1432,20,33335.24,3059.936666666666,1,6,1.0,7.0,4.07,4.0,1226.23,30.98273420726421,21.53854806279936,88.11987,476.33524,597.7466152028816,0,1,0,1,0
1439,20,33335.24,3059.936666666666,1,6,1.0,7.0,4.07,4.0,1226.23,36.322906977314574,21.53854806279936,247.4753,306.97983,597.8979813880808,0,1,0,1,0
1449,48,32314.44,2805.87,2,5,3.0,10.0,11.54,0.0,1339.6,36.63151119075457,80.21419153549967,151.94098,318.43182,714.4640207069723,0,1,0,1,0
1450,49,32314.44,2805.87,2,5,3.0,9.0,9.54,0.0,1339.6,32.94627527200768,80.21419153549967,73.397644,386.97516,713.0020339084228,0,1,0,1,0
1452,49,32314.44,2805.87,2,5,3.0,11.0,9.54,0.0,1339.6,30.11502583743052,80.21419153549967,95.191055,375.18176,717.9044742053395,0,1,0,1,0
1454,49,32314.44,2681.16628073925,2,5,3.0,9.0,9.54,0.0,1339.6,37.10292074809094,204.9179107962496,112.65747,337.71533,690.5737580626314,0,1,0,1,0
1508,22,29608.46,2625.3716666666664,7,8,7.0,16.0,8.06,10.0,1286.07,30.22208042579987,141.76428225323713,170.0208,210.75209,489.746279479199,1,0,0,0,1
1509,22,29608.46,2625.3716666666664,7,8,7.0,15.0,9.06,10.0,1286.07,30.18915882970695,141.76428225323713,123.887245,286.88565,360.1495460554775,1,0,0,0,1
1520,15,52972.5,4600.375,7,5,3.0,24.0,7.2,11.0,2196.59,30.95751108435655,112.69576824348246,121.46301,505.87872,504.3372643549983,1,0,0,0,1
1521,15,52972.5,4600.375,7,5,3.0,24.0,7.2,11.0,2196.59,34.15992896027812,112.69576824348246,305.14813,332.19357,517.190328638419,1,0,0,0,1
1574,37,25530.33,2137.5275,3,4,0.0,13.0,11.98,8.0,761.18,27.54052555440045,0.0,30.661951,433.0908,629.3505200315616,0,0,1,0,1
1575,37,25530.33,2137.5275,3,4,0.0,13.0,11.98,8.0,761.18,36.32469457262065,0.0,205.79288,287.95987,626.5668291885146,0,0,1,0,1
1605,52,13074.395,1356.5329166666668,8,7,1.0,14.0,5.96,6.0,1048.26,32.033170067397194,9.175797471274404,99.576256,306.90125,631.5254092076633,0,1,0,1,0
1606,52,13074.395,1356.5329166666668,8,7,1.0,15.0,5.96,6.0,1048.26,31.14255277402521,9.175797471274404,106.72932,299.74817,714.5570241438118,0,1,0,1,0
1633,38,14224.655,1395.3879166666668,8,6,1.0,10.0,8.1,1.0,1343.01,37.18621603441876,7.642056540954449,186.34006,235.55667,660.8013402937074,0,0,1,1,0
1637,38,14224.655,1395.3879166666668,8,6,1.0,9.0,8.1,5.0,1343.01,30.93956511351287,3510.0,66.43308,355.46365,668.0307347161788,0,0,1,1,0
1639,38,14224.655,1395.3879166666668,8,6,1.0,10.0,8.1,5.0,1343.01,36.93840510491938,7.642056540954449,59.12269,362.77405,650.8442252858284,0,0,1,1,0
1670,28,27063.43,2455.285833333333,8,3,4.0,15.0,14.49,5.0,1205.36,35.476360123805506,74.73897797254129,42.12891,368.6607,694.1902066861433,0,0,1,0,1
1675,44,36980.1,3352.675,6,10,6.0,14.0,9.55,14.0,2403.26,31.967299701914968,174.0872208516925,183.84361,267.33667,634.8146314517616,0,0,1,0,1
1676,44,36980.1,3352.675,6,10,6.0,16.0,9.55,14.0,2403.26,37.374121277878594,174.0872208516925,53.01924,358.16104,444.42495324179,0,0,1,0,1
1770,43,29042.45,2252.204166666667,3,5,1.0,16.0,9.72,4.0,1092.55,29.385147003188216,16.756706537779973,133.42392,365.0398,647.2787578819017,0,0,1,0,1
1772,43,29042.45,2252.204166666667,3,5,1.0,19.0,9.72,4.0,1092.55,28.10245049515894,16.756706537779973,205.59766,272.86606,647.5713061659219,0,0,1,0,1
1773,43,29042.45,2252.204166666667,3,5,1.0,16.0,9.72,4.0,1092.55,30.153775763861017,16.756706537779973,185.45657,313.00714,601.2264322130221,0,0,1,0,1
